time,x,y,z
20160805 16:41:10.762431,0,228152,228152,228152
20160805 16:41:10.770244,0,228153,228153,228153
20160805 16:41:10.778056,0,228154,228154,228154
20160805 16:41:10.785868,0,228155,228155,228155
20160805 16:41:10.793681,0,228156,228156,228156
20160805 16:41:10.801494,0,228157,228157,228157
20160805 16:41:10.809306,0,228158,228158,228158
20160805 16:41:10.817118,0,228159,228159,228159
20160805 16:41:10.824931,0,228160,228160,228160
20160805 16:41:10.832744,0,228161,228161,228161
20160805 16:41:10.840556,0,228162,228162,228162
20160805 16:41:10.848368,0,228163,228163,228163
20160805 16:41:10.856181,0,228164,228164,228164
20160805 16:41:10.863994,0,228165,228165,228165
20160805 16:41:10.871806,0,228166,228166,228166
20160805 16:41:10.879618,0,228167,228167,228167
20160805 16:41:10.887431,0,228168,228168,228168
20160805 16:41:10.895244,0,228169,228169,228169
20160805 16:41:10.903056,0,228170,228170,228170
20160805 16:41:10.910868,0,228171,228171,228171
20160805 16:41:10.918681,0,228172,228172,228172
20160805 16:41:10.926494,0,228173,228173,228173
20160805 16:41:10.934306,0,228174,228174,228174
20160805 16:41:10.942118,0,228175,228175,228175
20160805 16:41:10.949931,0,228176,228176,228176
20160805 16:41:10.957744,0,228177,228177,228177
20160805 16:41:10.965556,0,228178,228178,228178
20160805 16:41:10.973368,0,228179,228179,228179
20160805 16:41:10.981181,0,228180,228180,228180
20160805 16:41:10.988994,0,228181,228181,228181
20160805 16:41:10.996806,0,228182,228182,228182
20160805 16:41:11.004618,0,228183,228183,228183
20160805 16:41:11.012431,0,228184,228184,228184
20160805 16:41:11.020244,0,228185,228185,228185
20160805 16:41:11.028056,0,228186,228186,228186
20160805 16:41:11.035868,0,228187,228187,228187
20160805 16:41:11.043681,0,228188,228188,228188
20160805 16:41:11.051494,0,228189,228189,228189
20160805 16:41:11.059306,0,228190,228190,228190
20160805 16:41:11.067118,0,228191,228191,228191
20160805 16:41:11.074931,0,228192,228192,228192
20160805 16:41:11.082744,0,228193,228193,228193
20160805 16:41:11.090556,0,228194,228194,228194
20160805 16:41:11.098368,0,228195,228195,228195
20160805 16:41:11.106181,0,228196,228196,228196
20160805 16:41:11.113994,0,228197,228197,228197
20160805 16:41:11.121806,0,228198,228198,228198
20160805 16:41:11.129618,0,228199,228199,228199
20160805 16:41:11.137431,0,228200,228200,228200
20160805 16:41:11.145244,0,228201,228201,228201
20160805 16:41:11.153056,0,228202,228202,228202
20160805 16:41:11.160868,0,228203,228203,228203
20160805 16:41:11.168681,0,228204,228204,228204
20160805 16:41:11.176494,0,228205,228205,228205
20160805 16:41:11.184306,0,228206,228206,228206
20160805 16:41:11.192118,0,228207,228207,228207
20160805 16:41:11.199931,0,228208,228208,228208
20160805 16:41:11.207744,0,228209,228209,228209
20160805 16:41:11.215556,0,228210,228210,228210
20160805 16:41:11.223368,0,228211,228211,228211
20160805 16:41:11.231181,0,228212,228212,228212
20160805 16:41:11.238994,0,228213,228213,228213
20160805 16:41:11.246806,0,228214,228214,228214
20160805 16:41:11.254618,0,228215,228215,228215
20160805 16:41:11.262431,0,228216,228216,228216
20160805 16:41:11.270244,0,228217,228217,228217
20160805 16:41:11.278056,0,228218,228218,228218
20160805 16:41:11.285868,0,228219,228219,228219
20160805 16:41:11.293681,0,228220,228220,228220
20160805 16:41:11.301494,0,228221,228221,228221
20160805 16:41:11.309306,0,228222,228222,228222
20160805 16:41:11.317118,0,228223,228223,228223
20160805 16:41:11.324931,0,228224,228224,228224
20160805 16:41:11.332744,0,228225,228225,228225
20160805 16:41:11.340556,0,228226,228226,228226
20160805 16:41:11.348368,0,228227,228227,228227
20160805 16:41:11.356181,0,228228,228228,228228
20160805 16:41:11.363994,0,228229,228229,228229
20160805 16:41:11.371806,0,228230,228230,228230
20160805 16:41:11.379618,0,228231,228231,228231
20160805 16:41:11.387431,0,228232,228232,228232
20160805 16:41:11.395244,0,228233,228233,228233
20160805 16:41:11.403056,0,228234,228234,228234
20160805 16:41:11.410868,0,228235,228235,228235
20160805 16:41:11.418681,0,228236,228236,228236
20160805 16:41:11.426494,0,228237,228237,228237
20160805 16:41:11.434306,0,228238,228238,228238
20160805 16:41:11.442118,0,228239,228239,228239
20160805 16:41:11.449931,0,228240,228240,228240
